,Адыгея,0.25
,Алтайский край,2.29
,Амурская область,7.14
,Архангельская область,8.21
,Астраханская область,4.17
,Башкортостан,1.13
,Белгородская область,1.22
,Брянская область,0.89
,Бурятия,4.39
,Владимирская область,1.59
,Волгоградская область,1.23
,Вологодская область,3.63
,Воронежская область,0.94
,Дагестан,11.89
,Еврейская автономная область,5.42
,Забайкальский край,4.32
,Ивановская область,2.41
,Ингушетия,13.99
,Иркутская область,6.63
,Кабардино-Балкария,2.02
,Калининградская область,1.49
,Калмыкия,0.65
,Калужская область,3.7
,Камчатский край,5.26
,Карачаево-Черкесия,0.6
,Карелия,3.18
,Кемеровская область,3.78
,Кировская область,7.4
,Костромская область,3.9
,Краснодарский край,0.62
,Красноярский край,3.26
,Крым,1.77
,Курганская область,5.42
,Курская область,0.53
,Ленинградская область,1.65
,Липецкая область,1.11
,Магаданская область,8.08
,Марий Эл,4.44
,Мордовия,2.26
,Москва,0.05
,Московская область,1.04
,Мурманская область,1.82
,Ненецкий автономный округ,6.94
,Нижегородская область,1.91
,Новгородская область,2.71
,Новосибирская область,1.77
,Омская область,1.26
,Оренбургская область,2.54
,Орловская область,1.37
,Пензенская область,2.75
,Пермский край,4.52
,Приморский край,2.03
,Псковская область,1.27
,Республика Алтай,4.98
,Республика Коми,6.39
,Республика Тыва,12.52
,Ростовская область,1.35
,Рязанская область,2.04
,Самарская область,2.38
,Санкт-Петербург,0.12
,Саратовская область,2.24
,Сахалинская область,9.44
,Свердловская область,2.04
,Севастополь,0.34
,Северная Осетия,1.16
,Смоленская область,1.72
,Ставропольский край,0.97
,Тамбовская область,1.79
,Татарстан,0.85
,Тверская область,5.27
,Томская область,3.75
,Тульская область,4.4
,Тюменская область,2.34
,Удмуртия,2.66
,Ульяновская область,1.42
,Хабаровский край,2.55
,Хакасия,4.09
,Ханты-Мансийский автономный округ,7.71
,Челябинская область,1.36
,Чечня,2.63
,Чувашия,1.36
,Чукотский автономный округ,4.17
,Якутия,16.51
,Ямало-Ненецкий автономный округ,11.77
,Ярославская область,3.39
